movie,review
scary_movie_2026,Storyline was far from flowing and logical. Definitely more a pop culture watch than a standalone complete film
scary_movie_2026,Leave at the middle
scary_movie_2026,"20 minutes in, I already started hating the movie. By 30 minutes in, I was already debating whether to walk or not. I decided to stay, which was a mistake. A few race jokes here and there is fine. But to ram the whole ""black"" scenario every 3 seconds gets old real quick. Also, there was absolutely no plot to the movie and the acting was stupid (even the original cast was stupid. Whether to match the stupidity of the young cast or not is questionable). There were no scene(s) that I, or anyone else in the entire theater, found funny."
scary_movie_2026,"Hilarious, they did a great job with this. Definitely worth the watch."
scary_movie_2026,It wasnt as funny as the others. I liked seeing all the characters again. I could have waited to watch at home.
scary_movie_2026,Joke weren’t that funny
scary_movie_2026,"It was funny, the nostalgia was there. not as good as 1 and 2 but better than 4"
scary_movie_2026,This movie was great! I just wish that there was more action.
scary_movie_2026,"Omg it's so bad. Didn't laugh once. And I'm a big fan of the old classics. Never should have happened. The theater was silent and awkward. Super disappointing, waste of money."
scary_movie_2026,Had some laughs but some jokes didn’t land . Was hoping it to be funnier
scary_movie_2026,Storyline was far from flowing and logical. Definitely more a pop culture watch than a standalone complete film
scary_movie_2026,Leave at the middle
scary_movie_2026,"20 minutes in, I already started hating the movie. By 30 minutes in, I was already debating whether to walk or not. I decided to stay, which was a mistake. A few race jokes here and there is fine. But to ram the whole ""black"" scenario every 3 seconds gets old real quick. Also, there was absolutely no plot to the movie and the acting was stupid (even the original cast was stupid. Whether to match the stupidity of the young cast or not is questionable). There were no scene(s) that I, or anyone else in the entire theater, found funny."
scary_movie_2026,"Hilarious, they did a great job with this. Definitely worth the watch."
scary_movie_2026,It wasnt as funny as the others. I liked seeing all the characters again. I could have waited to watch at home.
scary_movie_2026,Joke weren’t that funny
scary_movie_2026,"It was funny, the nostalgia was there. not as good as 1 and 2 but better than 4"
scary_movie_2026,This movie was great! I just wish that there was more action.
scary_movie_2026,"Omg it's so bad. Didn't laugh once. And I'm a big fan of the old classics. Never should have happened. The theater was silent and awkward. Super disappointing, waste of money."
scary_movie_2026,Had some laughs but some jokes didn’t land . Was hoping it to be funnier
masters_of_the_universe_2026,"It is a fantasy fun movie. The lead character on his quest for the power of a sword goes through various challenges to reach his goal. I liked that story placed him in normal society of today instead of a separate living area. He faces the same challenges of work, bosses etc as everyone but a personal goal to find the sword. The evil character is intense to me. Fun movie"
masters_of_the_universe_2026,I'm from that last generation who grew up watching He-Man and this movie was just OK. A lot sarcasm but no bad at all. What I really loved was the whole Eternia environment and the characters.
masters_of_the_universe_2026,"Definitely really fun. Great visuals. A little campy, but on purpose to play into the time period that birthed it. It’s not elevating the action fantasy genre, but it’s definitely a fun ride."
masters_of_the_universe_2026,Took me instantly back to my childhood. I really loved this movie. My kids loved this movie too. Very exciting movie. Skeletor was hilarious too. I'll watch it again!
masters_of_the_universe_2026,I haven’t seen a movie this bad in a long time.
masters_of_the_universe_2026,"*SPOILERS* As much as I can't stand Jared Leto, he played Skeletor very well. Teela was absolutely amazing. Man-at-Arms, brilliant. The battle bot was great. Other than that, what I thought was going to be a fun movie fell pretty short. CGI was good but the plot, meh. I wish Orco and Cringer would have been more present in this movie. I don't even remember Fisto and I wish they would have put Man-E-Faces instead."
masters_of_the_universe_2026,"Masters of the Universe was a fun and entertaining movie that delivered the action, adventure, and fantasy elements I was hoping for. The visuals were strong, the world looked great, and it did a solid job bringing the franchise to life. My biggest criticism is that some of the acting felt a little off at times. There were a few moments where the performances didn’t quite match the intensity of the scenes, which occasionally took me out of the movie. Thankfully, it wasn’t enough to hurt the overall experience. Despite those issues, I had a good time watching it. It’s the kind of movie that’s easy to sit back, relax, and enjoy without overthinking. Not perfect, but definitely a fun ride. Rating: 8/10"
masters_of_the_universe_2026,"Wow absolutely amazing! I loved every character portrayal and their designs, Jared Leto did an amazing job as skeletor he is very comical in the cartoon and has been memed a ton and for them to slip that in was brilliant. The main actor that play He-Man loved him, the love interest and dynamic loved it, and my favorite character shows up at the end with the battle Cat! All in all and impressive Blend of comedy and action while staying true to the franchise, a class act in film."
masters_of_the_universe_2026,"I love it, a very fun movie. I recommend it especially those who loved He-Man as a kid. 10/10"
masters_of_the_universe_2026,as never seen the original I enjoyed the premise and has made me wanna watch the old to see how I stands up
masters_of_the_universe_2026,"It is a fantasy fun movie. The lead character on his quest for the power of a sword goes through various challenges to reach his goal. I liked that story placed him in normal society of today instead of a separate living area. He faces the same challenges of work, bosses etc as everyone but a personal goal to find the sword. The evil character is intense to me. Fun movie"
masters_of_the_universe_2026,I'm from that last generation who grew up watching He-Man and this movie was just OK. A lot sarcasm but no bad at all. What I really loved was the whole Eternia environment and the characters.
masters_of_the_universe_2026,"Definitely really fun. Great visuals. A little campy, but on purpose to play into the time period that birthed it. It’s not elevating the action fantasy genre, but it’s definitely a fun ride."
masters_of_the_universe_2026,Took me instantly back to my childhood. I really loved this movie. My kids loved this movie too. Very exciting movie. Skeletor was hilarious too. I'll watch it again!
masters_of_the_universe_2026,I haven’t seen a movie this bad in a long time.
masters_of_the_universe_2026,"*SPOILERS* As much as I can't stand Jared Leto, he played Skeletor very well. Teela was absolutely amazing. Man-at-Arms, brilliant. The battle bot was great. Other than that, what I thought was going to be a fun movie fell pretty short. CGI was good but the plot, meh. I wish Orco and Cringer would have been more present in this movie. I don't even remember Fisto and I wish they would have put Man-E-Faces instead."
masters_of_the_universe_2026,"Masters of the Universe was a fun and entertaining movie that delivered the action, adventure, and fantasy elements I was hoping for. The visuals were strong, the world looked great, and it did a solid job bringing the franchise to life. My biggest criticism is that some of the acting felt a little off at times. There were a few moments where the performances didn’t quite match the intensity of the scenes, which occasionally took me out of the movie. Thankfully, it wasn’t enough to hurt the overall experience. Despite those issues, I had a good time watching it. It’s the kind of movie that’s easy to sit back, relax, and enjoy without overthinking. Not perfect, but definitely a fun ride. Rating: 8/10"
masters_of_the_universe_2026,"Wow absolutely amazing! I loved every character portrayal and their designs, Jared Leto did an amazing job as skeletor he is very comical in the cartoon and has been memed a ton and for them to slip that in was brilliant. The main actor that play He-Man loved him, the love interest and dynamic loved it, and my favorite character shows up at the end with the battle Cat! All in all and impressive Blend of comedy and action while staying true to the franchise, a class act in film."
masters_of_the_universe_2026,"I love it, a very fun movie. I recommend it especially those who loved He-Man as a kid. 10/10"
masters_of_the_universe_2026,as never seen the original I enjoyed the premise and has made me wanna watch the old to see how I stands up
masters_of_the_universe_2026,"It is a fantasy fun movie. The lead character on his quest for the power of a sword goes through various challenges to reach his goal. I liked that story placed him in normal society of today instead of a separate living area. He faces the same challenges of work, bosses etc as everyone but a personal goal to find the sword. The evil character is intense to me. Fun movie"
masters_of_the_universe_2026,I'm from that last generation who grew up watching He-Man and this movie was just OK. A lot sarcasm but no bad at all. What I really loved was the whole Eternia environment and the characters.
masters_of_the_universe_2026,"Definitely really fun. Great visuals. A little campy, but on purpose to play into the time period that birthed it. It’s not elevating the action fantasy genre, but it’s definitely a fun ride."
masters_of_the_universe_2026,Took me instantly back to my childhood. I really loved this movie. My kids loved this movie too. Very exciting movie. Skeletor was hilarious too. I'll watch it again!
masters_of_the_universe_2026,I haven’t seen a movie this bad in a long time.
masters_of_the_universe_2026,"*SPOILERS* As much as I can't stand Jared Leto, he played Skeletor very well. Teela was absolutely amazing. Man-at-Arms, brilliant. The battle bot was great. Other than that, what I thought was going to be a fun movie fell pretty short. CGI was good but the plot, meh. I wish Orco and Cringer would have been more present in this movie. I don't even remember Fisto and I wish they would have put Man-E-Faces instead."
masters_of_the_universe_2026,"Masters of the Universe was a fun and entertaining movie that delivered the action, adventure, and fantasy elements I was hoping for. The visuals were strong, the world looked great, and it did a solid job bringing the franchise to life. My biggest criticism is that some of the acting felt a little off at times. There were a few moments where the performances didn’t quite match the intensity of the scenes, which occasionally took me out of the movie. Thankfully, it wasn’t enough to hurt the overall experience. Despite those issues, I had a good time watching it. It’s the kind of movie that’s easy to sit back, relax, and enjoy without overthinking. Not perfect, but definitely a fun ride. Rating: 8/10"
masters_of_the_universe_2026,"Wow absolutely amazing! I loved every character portrayal and their designs, Jared Leto did an amazing job as skeletor he is very comical in the cartoon and has been memed a ton and for them to slip that in was brilliant. The main actor that play He-Man loved him, the love interest and dynamic loved it, and my favorite character shows up at the end with the battle Cat! All in all and impressive Blend of comedy and action while staying true to the franchise, a class act in film."
masters_of_the_universe_2026,"I love it, a very fun movie. I recommend it especially those who loved He-Man as a kid. 10/10"
masters_of_the_universe_2026,as never seen the original I enjoyed the premise and has made me wanna watch the old to see how I stands up
backrooms,Absolutely horrible. ITS SUPPOSED TO BE HORROR but no actual horror. I SPRNT 2 hours of my life watching this movie as well as watching the lore to try understand the movie better. Lots of loose ends and no happy ending for characters. Shit movie!
backrooms,"If you can imagine watching YouTuber CoryxKenshin play a video game adaptation of Being John Malkovich, you’ll have a rough roadmap for Backrooms. Kane Parsons’ otherworldly film is a rabbit hole within a rabbit hole, that plunges into a reality that seems determined to resist explanation. It’s weird, bizarre, and relentlessly trippy. Every turn down an endless hallway deepens the mystery, layering intrigue upon intrigue. Chiwetel Ejiofor delivers a grounded performance as Clark, an ordinary man struggling to hold his life together until he stumbles upon the extradimensional space that manifests as a warped photocopy of his deteriorating world. The mythology surrounding Backrooms feels as vast and infinite as the labyrinth itself. Is it meant to be fully understood? Maybe not. But that uncertainty is what makes the film captivating. Rather than offering answers, Backrooms invites audiences to lose themselves in the unsettling wonder of the unknown. The journey is impossible to forget."
backrooms,"I really like this movie it was jump scares, and just the perfect type of scary movie for teenagers my age. I would definitely watch it again and I really wish it was a part two."
backrooms,"Filmed like a Blair Witch movie but so incredibly boring. I kept waiting for something to happen or for any single bit of information that we were shown to be explained, but… Nothing. I fell asleep for the last five minutes, but that’s okay because it didn’t make any difference at all. Smart for the creator to get such a YouTube following to come and see it with such a small budget. Other than that, it was just not good at all."
backrooms,So many questions unanswered.
backrooms,It was boring as hell!!
backrooms,What a waste of time.
backrooms,"The concept of endless, haphazard spaces where you can't find your way out and get chased...that's great. But it goes so hard into the subconscious and therapy land that it doesn't make any sense."
backrooms,"It takes a lot of thought, but in doing so you get a great appreciation of the movie. The horror was tense and palpable, and maybe a little more clarification would've helped out general audiences. Overall enjoyed 👍"
backrooms,"It was alright. Definitely worth the watch but I wouldn’t pay to see it because honestly it was boring. It was 2 hours but all the plot and interesting stuff could’ve fit into 1 hour, and it just wasn’t very scary. There was so much buildup time just for some mildly scary scenes. The only reason it gets 1 and a half stars is because the concept was interesting."
backrooms,Absolutely horrible. ITS SUPPOSED TO BE HORROR but no actual horror. I SPRNT 2 hours of my life watching this movie as well as watching the lore to try understand the movie better. Lots of loose ends and no happy ending for characters. Shit movie!
backrooms,"If you can imagine watching YouTuber CoryxKenshin play a video game adaptation of Being John Malkovich, you’ll have a rough roadmap for Backrooms. Kane Parsons’ otherworldly film is a rabbit hole within a rabbit hole, that plunges into a reality that seems determined to resist explanation. It’s weird, bizarre, and relentlessly trippy. Every turn down an endless hallway deepens the mystery, layering intrigue upon intrigue. Chiwetel Ejiofor delivers a grounded performance as Clark, an ordinary man struggling to hold his life together until he stumbles upon the extradimensional space that manifests as a warped photocopy of his deteriorating world. The mythology surrounding Backrooms feels as vast and infinite as the labyrinth itself. Is it meant to be fully understood? Maybe not. But that uncertainty is what makes the film captivating. Rather than offering answers, Backrooms invites audiences to lose themselves in the unsettling wonder of the unknown. The journey is impossible to forget."
backrooms,"I really like this movie it was jump scares, and just the perfect type of scary movie for teenagers my age. I would definitely watch it again and I really wish it was a part two."
backrooms,"Filmed like a Blair Witch movie but so incredibly boring. I kept waiting for something to happen or for any single bit of information that we were shown to be explained, but… Nothing. I fell asleep for the last five minutes, but that’s okay because it didn’t make any difference at all. Smart for the creator to get such a YouTube following to come and see it with such a small budget. Other than that, it was just not good at all."
backrooms,So many questions unanswered.
backrooms,It was boring as hell!!
backrooms,What a waste of time.
backrooms,"The concept of endless, haphazard spaces where you can't find your way out and get chased...that's great. But it goes so hard into the subconscious and therapy land that it doesn't make any sense."
backrooms,"It takes a lot of thought, but in doing so you get a great appreciation of the movie. The horror was tense and palpable, and maybe a little more clarification would've helped out general audiences. Overall enjoyed 👍"
backrooms,"It was alright. Definitely worth the watch but I wouldn’t pay to see it because honestly it was boring. It was 2 hours but all the plot and interesting stuff could’ve fit into 1 hour, and it just wasn’t very scary. There was so much buildup time just for some mildly scary scenes. The only reason it gets 1 and a half stars is because the concept was interesting."
obsession_2025,"Presents a disastrous hocus-pocus relationship in the most disturbing, horrific way. Great thriller"
obsession_2025,"Absolutely love this film, they combined elements from New age Horror and the classic horror of you can run but you cannot hide, impending doom, they didn't overdo it with the jump scares which is honestly a cherry on top, and I caught that poetic reference at the very end, an absolute masterpiece!"
obsession_2025,Good but tooooooooooooooooooo scary at end
obsession_2025,"I really liked this! I was shocked when I saw who the director was, having seen his sketches on YouTube. I thought the dark humor was funny, and the scary stuff was fun too! I would absolutely watch this again, and I would recommend it! It’s definitely one of the better movies I have seen, which I am surprised to say! Great story, acting was pretty good, and I was compelled by the whole thing"
obsession_2025,"Omg this movie it’s crazy….. like so good. Jump scares suspense, craziness terror. Omg traumatize!!!"
obsession_2025,"Very good, I was sacred 🥺"
obsession_2025,Best horror movie I’ve ever watched in my life! Already seen it twice in theaters plan on a third time! Curry Baker did a great job with the storytelling of this movie. Inde Navarette deserves an Oscar for her performance as Nikki! Movie of the year! Every point in this movie had me on the edge of my seat. Love it!!!
obsession_2025,Slow and very boring had its mom but don’t see what all the hype was
obsession_2025,I need a Refund because the movie was canceled
obsession_2025,Absolutely Magnificent I totally recommend to everyone what a masterpiece
obsession_2025,"Presents a disastrous hocus-pocus relationship in the most disturbing, horrific way. Great thriller"
obsession_2025,"Absolutely love this film, they combined elements from New age Horror and the classic horror of you can run but you cannot hide, impending doom, they didn't overdo it with the jump scares which is honestly a cherry on top, and I caught that poetic reference at the very end, an absolute masterpiece!"
obsession_2025,Good but tooooooooooooooooooo scary at end
obsession_2025,"I really liked this! I was shocked when I saw who the director was, having seen his sketches on YouTube. I thought the dark humor was funny, and the scary stuff was fun too! I would absolutely watch this again, and I would recommend it! It’s definitely one of the better movies I have seen, which I am surprised to say! Great story, acting was pretty good, and I was compelled by the whole thing"
obsession_2025,"Omg this movie it’s crazy….. like so good. Jump scares suspense, craziness terror. Omg traumatize!!!"
obsession_2025,"Very good, I was sacred 🥺"
obsession_2025,Best horror movie I’ve ever watched in my life! Already seen it twice in theaters plan on a third time! Curry Baker did a great job with the storytelling of this movie. Inde Navarette deserves an Oscar for her performance as Nikki! Movie of the year! Every point in this movie had me on the edge of my seat. Love it!!!
obsession_2025,Slow and very boring had its mom but don’t see what all the hype was
obsession_2025,I need a Refund because the movie was canceled
obsession_2025,Absolutely Magnificent I totally recommend to everyone what a masterpiece
obsession_2025,"Presents a disastrous hocus-pocus relationship in the most disturbing, horrific way. Great thriller"
obsession_2025,"Absolutely love this film, they combined elements from New age Horror and the classic horror of you can run but you cannot hide, impending doom, they didn't overdo it with the jump scares which is honestly a cherry on top, and I caught that poetic reference at the very end, an absolute masterpiece!"
obsession_2025,Good but tooooooooooooooooooo scary at end
obsession_2025,"I really liked this! I was shocked when I saw who the director was, having seen his sketches on YouTube. I thought the dark humor was funny, and the scary stuff was fun too! I would absolutely watch this again, and I would recommend it! It’s definitely one of the better movies I have seen, which I am surprised to say! Great story, acting was pretty good, and I was compelled by the whole thing"
obsession_2025,"Omg this movie it’s crazy….. like so good. Jump scares suspense, craziness terror. Omg traumatize!!!"
obsession_2025,"Very good, I was sacred 🥺"
obsession_2025,Best horror movie I’ve ever watched in my life! Already seen it twice in theaters plan on a third time! Curry Baker did a great job with the storytelling of this movie. Inde Navarette deserves an Oscar for her performance as Nikki! Movie of the year! Every point in this movie had me on the edge of my seat. Love it!!!
obsession_2025,Slow and very boring had its mom but don’t see what all the hype was
obsession_2025,I need a Refund because the movie was canceled
obsession_2025,Absolutely Magnificent I totally recommend to everyone what a masterpiece
hokum,"It's like an amalgamation of the Shining, 1408 and Insidious. Decent movie, but nothing really exciting or noteworthy in my opinion. I like Adam Scott and the hotel atmosphere is ok, but just kind of slow and didn't hit the mark with me."
hokum,"Nowhere near as good as Oddity. It has style and atmosphere, but the story feels undercooked. Honestly, the film‑within‑the‑film that frames the whole thing seemed far more compelling — I found myself wishing that were the actual movie."
hokum,"A good movie for afternoon TV. I have zero clue why it has such specifically high ratings. Honestly it's probably because of the cast. Nothing wrong with it, but it was literally just one of those b grade movies you would watch on a day off school. There is something wrong /corrupt about this website. The ratings are falsely high. Genre... Its suspense, not really horror."
hokum,"Hokum is an atmospheric horror/mystery with a great, fail-proof setting - an old haunted hotel around Halloween. Even a marginal story or execution is likely to do ok with that Shining/1408 backdrop. Unfortunately, that’s what we get with Hokum. This is the third horror/mystery by the director of Caveat and Oddity, and I feel both of those films are superior to Hokum. Part of the problem is how unlikable the main character is. Much like in The Shining and 1408, he’s a troubled writer who drinks and must confront his past and his demons at the hotel. But the mystery of what happens to the missing girl isn’t all that mysterious, and has little or nothing to do with him. Great movies stay with you and leave you thinking about the meaning or how they end. After Hokum I could barely remember how it ended or why the hotel was haunted at all. Maybe I need a second viewing. But both Caveat and Oddity had a more focused story, with better characters."
