movie,review,cleaned_review,sentiment,sentiment_label
scary_movie_2026,Storyline was far from flowing and logical. Definitely more a pop culture watch than a standalone complete film,storyline was far from flowing and logical definitely more a pop culture watch than a standalone complete film,positive,1
scary_movie_2026,Leave at the middle,leave at the middle,neutral,2
scary_movie_2026,"20 minutes in, I already started hating the movie. By 30 minutes in, I was already debating whether to walk or not. I decided to stay, which was a mistake. A few race jokes here and there is fine. But to ram the whole ""black"" scenario every 3 seconds gets old real quick. Also, there was absolutely no plot to the movie and the acting was stupid (even the original cast was stupid. Whether to match the stupidity of the young cast or not is questionable). There were no scene(s) that I, or anyone else in the entire theater, found funny.",minutes in i already started hating the movie by minutes in i was already debating whether to walk or not i decided to stay which was a mistake a few race jokes here and there is fine but to ram the whole black scenario every seconds gets old real quick also there was absolutely no plot to the movie and the acting was stupid even the original cast was stupid whether to match the stupidity of the young cast or not is questionable there were no scenes that i or anyone else in the entire theater found funny,negative,0
scary_movie_2026,"Hilarious, they did a great job with this. Definitely worth the watch.",hilarious they did a great job with this definitely worth the watch,positive,1
scary_movie_2026,It wasnt as funny as the others. I liked seeing all the characters again. I could have waited to watch at home.,it wasnt as funny as the others i liked seeing all the characters again i could have waited to watch at home,positive,1
scary_movie_2026,Joke weren’t that funny,joke werent that funny,positive,1
scary_movie_2026,"It was funny, the nostalgia was there. not as good as 1 and 2 but better than 4",it was funny the nostalgia was there not as good as and but better than,positive,1
scary_movie_2026,This movie was great! I just wish that there was more action.,this movie was great i just wish that there was more action,positive,1
scary_movie_2026,"Omg it's so bad. Didn't laugh once. And I'm a big fan of the old classics. Never should have happened. The theater was silent and awkward. Super disappointing, waste of money.",omg its so bad didnt laugh once and im a big fan of the old classics never should have happened the theater was silent and awkward super disappointing waste of money,negative,0
scary_movie_2026,Had some laughs but some jokes didn’t land . Was hoping it to be funnier,had some laughs but some jokes didnt land was hoping it to be funnier,neutral,2
masters_of_the_universe_2026,"It is a fantasy fun movie. The lead character on his quest for the power of a sword goes through various challenges to reach his goal. I liked that story placed him in normal society of today instead of a separate living area. He faces the same challenges of work, bosses etc as everyone but a personal goal to find the sword. The evil character is intense to me. Fun movie",it is a fantasy fun movie the lead character on his quest for the power of a sword goes through various challenges to reach his goal i liked that story placed him in normal society of today instead of a separate living area he faces the same challenges of work bosses etc as everyone but a personal goal to find the sword the evil character is intense to me fun movie,positive,1
masters_of_the_universe_2026,I'm from that last generation who grew up watching He-Man and this movie was just OK. A lot sarcasm but no bad at all. What I really loved was the whole Eternia environment and the characters.,im from that last generation who grew up watching heman and this movie was just ok a lot sarcasm but no bad at all what i really loved was the whole eternia environment and the characters,positive,1
masters_of_the_universe_2026,"Definitely really fun. Great visuals. A little campy, but on purpose to play into the time period that birthed it. It’s not elevating the action fantasy genre, but it’s definitely a fun ride.",definitely really fun great visuals a little campy but on purpose to play into the time period that birthed it its not elevating the action fantasy genre but its definitely a fun ride,positive,1
masters_of_the_universe_2026,Took me instantly back to my childhood. I really loved this movie. My kids loved this movie too. Very exciting movie. Skeletor was hilarious too. I'll watch it again!,took me instantly back to my childhood i really loved this movie my kids loved this movie too very exciting movie skeletor was hilarious too ill watch it again,positive,1
masters_of_the_universe_2026,I haven’t seen a movie this bad in a long time.,i havent seen a movie this bad in a long time,negative,0
masters_of_the_universe_2026,"*SPOILERS* As much as I can't stand Jared Leto, he played Skeletor very well. Teela was absolutely amazing. Man-at-Arms, brilliant. The battle bot was great. Other than that, what I thought was going to be a fun movie fell pretty short. CGI was good but the plot, meh. I wish Orco and Cringer would have been more present in this movie. I don't even remember Fisto and I wish they would have put Man-E-Faces instead.",spoilers as much as i cant stand jared leto he played skeletor very well teela was absolutely amazing manatarms brilliant the battle bot was great other than that what i thought was going to be a fun movie fell pretty short cgi was good but the plot meh i wish orco and cringer would have been more present in this movie i dont even remember fisto and i wish they would have put manefaces instead,positive,1
masters_of_the_universe_2026,"Masters of the Universe was a fun and entertaining movie that delivered the action, adventure, and fantasy elements I was hoping for. The visuals were strong, the world looked great, and it did a solid job bringing the franchise to life. My biggest criticism is that some of the acting felt a little off at times. There were a few moments where the performances didn’t quite match the intensity of the scenes, which occasionally took me out of the movie. Thankfully, it wasn’t enough to hurt the overall experience. Despite those issues, I had a good time watching it. It’s the kind of movie that’s easy to sit back, relax, and enjoy without overthinking. Not perfect, but definitely a fun ride. Rating: 8/10",masters of the universe was a fun and entertaining movie that delivered the action adventure and fantasy elements i was hoping for the visuals were strong the world looked great and it did a solid job bringing the franchise to life my biggest criticism is that some of the acting felt a little off at times there were a few moments where the performances didnt quite match the intensity of the scenes which occasionally took me out of the movie thankfully it wasnt enough to hurt the overall experience despite those issues i had a good time watching it its the kind of movie thats easy to sit back relax and enjoy without overthinking not perfect but definitely a fun ride rating,positive,1
masters_of_the_universe_2026,"Wow absolutely amazing! I loved every character portrayal and their designs, Jared Leto did an amazing job as skeletor he is very comical in the cartoon and has been memed a ton and for them to slip that in was brilliant. The main actor that play He-Man loved him, the love interest and dynamic loved it, and my favorite character shows up at the end with the battle Cat! All in all and impressive Blend of comedy and action while staying true to the franchise, a class act in film.",wow absolutely amazing i loved every character portrayal and their designs jared leto did an amazing job as skeletor he is very comical in the cartoon and has been memed a ton and for them to slip that in was brilliant the main actor that play heman loved him the love interest and dynamic loved it and my favorite character shows up at the end with the battle cat all in all and impressive blend of comedy and action while staying true to the franchise a class act in film,positive,1
masters_of_the_universe_2026,"I love it, a very fun movie. I recommend it especially those who loved He-Man as a kid. 10/10",i love it a very fun movie i recommend it especially those who loved heman as a kid,positive,1
masters_of_the_universe_2026,as never seen the original I enjoyed the premise and has made me wanna watch the old to see how I stands up,as never seen the original i enjoyed the premise and has made me wanna watch the old to see how i stands up,positive,1
backrooms,Absolutely horrible. ITS SUPPOSED TO BE HORROR but no actual horror. I SPRNT 2 hours of my life watching this movie as well as watching the lore to try understand the movie better. Lots of loose ends and no happy ending for characters. Shit movie!,absolutely horrible its supposed to be horror but no actual horror i sprnt hours of my life watching this movie as well as watching the lore to try understand the movie better lots of loose ends and no happy ending for characters shit movie,negative,0
backrooms,"If you can imagine watching YouTuber CoryxKenshin play a video game adaptation of Being John Malkovich, you’ll have a rough roadmap for Backrooms. Kane Parsons’ otherworldly film is a rabbit hole within a rabbit hole, that plunges into a reality that seems determined to resist explanation. It’s weird, bizarre, and relentlessly trippy. Every turn down an endless hallway deepens the mystery, layering intrigue upon intrigue. Chiwetel Ejiofor delivers a grounded performance as Clark, an ordinary man struggling to hold his life together until he stumbles upon the extradimensional space that manifests as a warped photocopy of his deteriorating world. The mythology surrounding Backrooms feels as vast and infinite as the labyrinth itself. Is it meant to be fully understood? Maybe not. But that uncertainty is what makes the film captivating. Rather than offering answers, Backrooms invites audiences to lose themselves in the unsettling wonder of the unknown. The journey is impossible to forget.",if you can imagine watching youtuber coryxkenshin play a video game adaptation of being john malkovich youll have a rough roadmap for backrooms kane parsons otherworldly film is a rabbit hole within a rabbit hole that plunges into a reality that seems determined to resist explanation its weird bizarre and relentlessly trippy every turn down an endless hallway deepens the mystery layering intrigue upon intrigue chiwetel ejiofor delivers a grounded performance as clark an ordinary man struggling to hold his life together until he stumbles upon the extradimensional space that manifests as a warped photocopy of his deteriorating world the mythology surrounding backrooms feels as vast and infinite as the labyrinth itself is it meant to be fully understood maybe not but that uncertainty is what makes the film captivating rather than offering answers backrooms invites audiences to lose themselves in the unsettling wonder of the unknown the journey is impossible to forget,negative,0
backrooms,"I really like this movie it was jump scares, and just the perfect type of scary movie for teenagers my age. I would definitely watch it again and I really wish it was a part two.",i really like this movie it was jump scares and just the perfect type of scary movie for teenagers my age i would definitely watch it again and i really wish it was a part two,positive,1
backrooms,"Filmed like a Blair Witch movie but so incredibly boring. I kept waiting for something to happen or for any single bit of information that we were shown to be explained, but… Nothing. I fell asleep for the last five minutes, but that’s okay because it didn’t make any difference at all. Smart for the creator to get such a YouTube following to come and see it with such a small budget. Other than that, it was just not good at all.",filmed like a blair witch movie but so incredibly boring i kept waiting for something to happen or for any single bit of information that we were shown to be explained but nothing i fell asleep for the last five minutes but thats okay because it didnt make any difference at all smart for the creator to get such a youtube following to come and see it with such a small budget other than that it was just not good at all,negative,0
backrooms,So many questions unanswered.,so many questions unanswered,positive,1
backrooms,It was boring as hell!!,it was boring as hell,negative,0
backrooms,What a waste of time.,what a waste of time,negative,0
backrooms,"The concept of endless, haphazard spaces where you can't find your way out and get chased...that's great. But it goes so hard into the subconscious and therapy land that it doesn't make any sense.",the concept of endless haphazard spaces where you cant find your way out and get chasedthats great but it goes so hard into the subconscious and therapy land that it doesnt make any sense,negative,0
backrooms,"It takes a lot of thought, but in doing so you get a great appreciation of the movie. The horror was tense and palpable, and maybe a little more clarification would've helped out general audiences. Overall enjoyed 👍",it takes a lot of thought but in doing so you get a great appreciation of the movie the horror was tense and palpable and maybe a little more clarification wouldve helped out general audiences overall enjoyed,positive,1
backrooms,"It was alright. Definitely worth the watch but I wouldn’t pay to see it because honestly it was boring. It was 2 hours but all the plot and interesting stuff could’ve fit into 1 hour, and it just wasn’t very scary. There was so much buildup time just for some mildly scary scenes. The only reason it gets 1 and a half stars is because the concept was interesting.",it was alright definitely worth the watch but i wouldnt pay to see it because honestly it was boring it was hours but all the plot and interesting stuff couldve fit into hour and it just wasnt very scary there was so much buildup time just for some mildly scary scenes the only reason it gets and a half stars is because the concept was interesting,positive,1
obsession_2025,"Presents a disastrous hocus-pocus relationship in the most disturbing, horrific way. Great thriller",presents a disastrous hocuspocus relationship in the most disturbing horrific way great thriller,negative,0
obsession_2025,"Absolutely love this film, they combined elements from New age Horror and the classic horror of you can run but you cannot hide, impending doom, they didn't overdo it with the jump scares which is honestly a cherry on top, and I caught that poetic reference at the very end, an absolute masterpiece!",absolutely love this film they combined elements from new age horror and the classic horror of you can run but you cannot hide impending doom they didnt overdo it with the jump scares which is honestly a cherry on top and i caught that poetic reference at the very end an absolute masterpiece,positive,1
obsession_2025,Good but tooooooooooooooooooo scary at end,good but tooooooooooooooooooo scary at end,positive,1
